Tid;Lufttemperatur(°C)
2016-12-18 12:00;     0,259
2016-12-19 12:00;     1,567
2016-12-20 12:00;     3,603
2016-12-21 12:00;     3,380
2016-12-22 12:00;     0,890
2016-12-23 12:00;     0,569
2016-12-24 12:00;    -0,083
2016-12-25 12:00;     2,162
2016-12-26 12:00;     0,486
2016-12-27 12:00;    -0,466
2016-12-28 12:00;    -0,014
2016-12-29 12:00;     3,221
2016-12-30 12:00;     5,205
2016-12-31 12:00;     1,716
2017-01-01 12:00;    -0,464
2017-01-02 12:00;    -5,281
2017-01-03 12:00;    -2,238
2017-01-04 12:00;    -2,921
2017-01-05 12:00;   -14,981
2017-01-06 12:00;    -7,782
2017-01-07 12:00;    -0,191
2017-01-08 12:00;    -1,380
2017-01-09 12:00;     1,351
2017-01-10 12:00;     0,631
2017-01-11 12:00;     0,410
2017-01-12 12:00;    -1,541
2017-01-13 12:00;    -5,849
2017-01-14 12:00;    -5,426
2017-01-15 12:00;   -12,288
2017-01-16 12:00;   -13,644
2017-01-17 12:00;    -4,752
2017-01-18 12:00;     2,555
2017-01-19 12:00;     5,759
2017-01-20 12:00;     3,880
2017-01-21 12:00;     2,272
2017-01-22 12:00;    -0,010
2017-01-23 12:00;     0,568
2017-01-24 12:00;    -0,209
2017-01-25 12:00;     4,253
2017-01-26 12:00;     0,178
2017-01-27 12:00;    -1,489
2017-01-28 12:00;     0,140
2017-01-29 12:00;     1,163
2017-01-30 12:00;    -5,723
2017-01-31 12:00;    -8,425
2017-02-01 12:00;    -4,554
2017-02-02 12:00;    -0,585
2017-02-03 12:00;     1,195
2017-02-04 12:00;     2,414
2017-02-05 12:00;     0,209
2017-02-06 12:00;     0,253
2017-02-07 12:00;    -6,888
2017-02-08 12:00;   -11,949
2017-02-09 12:00;    -9,366
2017-02-10 12:00;    -5,489
2017-02-11 12:00;    -7,604
2017-02-12 12:00;    -7,551
2017-02-13 12:00;    -5,589
2017-02-14 12:00;    -5,893
2017-02-15 12:00;    -3,943
